station_name,agency,spatial_level,timestamp_local,aqi,source_file,year,month
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000008,98.0,aqi_hourly_city_level__2025_February_ahmedabad_2025.xlsx,2025,February
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000008,101.0,aqi_hourly_city_level__2025_January_ahmedabad_2025.xlsx,2025,January
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000008,189.0,aqi_hourly_city_level__2025_March_ahmedabad_2025.xlsx,2025,March
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000008,51.0,aqi_hourly_city_level__2025_May_ahmedabad_2025.xlsx,2025,May
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000009,116.0,aqi_hourly_city_level__2025_April_ahmedabad_2025.xlsx,2025,April
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000009,111.0,aqi_hourly_city_level__2025_February_ahmedabad_2025.xlsx,2025,February
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000009,106.0,aqi_hourly_city_level__2025_January_ahmedabad_2025.xlsx,2025,January
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000009,169.0,aqi_hourly_city_level__2025_March_ahmedabad_2025.xlsx,2025,March
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000009,73.0,aqi_hourly_city_level__2025_May_ahmedabad_2025.xlsx,2025,May
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000010,89.0,aqi_hourly_city_level__2025_April_ahmedabad_2025.xlsx,2025,April
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000010,147.0,aqi_hourly_city_level__2025_February_ahmedabad_2025.xlsx,2025,February
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000010,112.0,aqi_hourly_city_level__2025_January_ahmedabad_2025.xlsx,2025,January
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000010,193.0,aqi_hourly_city_level__2025_March_ahmedabad_2025.xlsx,2025,March
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000010,62.0,aqi_hourly_city_level__2025_May_ahmedabad_2025.xlsx,2025,May
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000011,85.0,aqi_hourly_city_level__2025_April_ahmedabad_2025.xlsx,2025,April
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000011,161.0,aqi_hourly_city_level__2025_February_ahmedabad_2025.xlsx,2025,February
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000011,119.0,aqi_hourly_city_level__2025_January_ahmedabad_2025.xlsx,2025,January
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000011,174.0,aqi_hourly_city_level__2025_March_ahmedabad_2025.xlsx,2025,March
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000011,77.0,aqi_hourly_city_level__2025_May_ahmedabad_2025.xlsx,2025,May
Ahmedabad City,CPCB,CITY,1970-01-01 00:00:00.000000012,90.0,aqi_hourly_city_level__2025_April_ahmedabad_2025.xlsx,2025,April
