station_id,station_name,date,latitude,longitude,covering_granules,strict_aod_550,strict_aod_uncertainty,strict_aod_available,research_aod_550,research_aod_uncertainty,research_aod_available,strict_valid_candidates,selected_strict_source
site_5456,SVPI Airport Hansol,2025-04-24,23.076793,72.627874,67,0.305,0.0379,1,-999,-999,0,1.7372549019607844,median_composite_valid
site_5456,SVPI Airport Hansol,2025-04-25,23.076793,72.627874,68,-999,-999,0,-999,-999,0,0.23529411764705882,median_composite_missing
site_5456,SVPI Airport Hansol,2025-04-26,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-04-27,23.076793,72.627874,66,-999,-999,0,-999,-999,0,0.23529411764705882,median_composite_missing
site_5456,SVPI Airport Hansol,2025-04-28,23.076793,72.627874,68,-999,-999,0,-999,-999,0,0.00392156862745098,median_composite_missing
site_5456,SVPI Airport Hansol,2025-04-29,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-04-30,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0.00392156862745098,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-01,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-02,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0.00392156862745098,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-03,23.076793,72.627874,68,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-04,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-05,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-06,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-07,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-08,23.076793,72.627874,68,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-09,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-10,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-11,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-12,23.076793,72.627874,66,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-13,23.076793,72.627874,68,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-14,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-15,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-16,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-17,23.076793,72.627874,68,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-18,23.076793,72.627874,68,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-19,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-20,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-21,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-22,23.076793,72.627874,68,-999,-999,0,-999,-999,0,0.13725490196078433,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-23,23.076793,72.627874,68,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-24,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-25,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-26,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-27,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-28,23.076793,72.627874,68,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-29,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-30,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-05-31,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-06-01,23.076793,72.627874,68,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-06-02,23.076793,72.627874,68,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-06-03,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-06-04,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-06-06,23.076793,72.627874,68,-999,-999,0,-999,-999,0,0.00392156862745098,median_composite_missing
site_5456,SVPI Airport Hansol,2025-06-07,23.076793,72.627874,68,-999,-999,0,-999,-999,0,0.25098039215686274,median_composite_missing
site_5456,SVPI Airport Hansol,2025-06-08,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-06-09,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0.00392156862745098,median_composite_missing
site_5456,SVPI Airport Hansol,2025-06-10,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-06-11,23.076793,72.627874,68,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-06-12,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-06-13,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-06-14,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-06-15,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-06-16,23.076793,72.627874,68,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-06-17,23.076793,72.627874,66,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-06-18,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-06-19,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-06-21,23.076793,72.627874,68,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-06-22,23.076793,72.627874,66,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-06-23,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-06-24,23.076793,72.627874,68,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-06-27,23.076793,72.627874,66,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-06-28,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-06-29,23.076793,72.627874,68,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-06-30,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-07-01,23.076793,72.627874,68,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-07-02,23.076793,72.627874,66,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5456,SVPI Airport Hansol,2025-07-03,23.076793,72.627874,67,-999,-999,0,-999,-999,0,0,median_composite_missing
