station_id,date,temperature_daily_c,relative_humidity_daily_pct,wind_speed_daily_ms,surface_pressure_daily_hpa,precipitation_daily_m,meteo_available
site_5453,2025-01-01,20.377099609375023,72.30431320158355,2.560025997037513,1009.53921875,0.0,True
site_5450,2025-01-01,20.377099609375023,72.30431320158355,2.560025997037513,1009.53921875,0.0,True
site_308,2025-01-01,20.377099609375023,72.30431320158355,2.560025997037513,1009.53921875,0.0,True
site_5452,2025-01-01,20.377099609375023,72.30431320158355,2.560025997037513,1009.53921875,0.0,True
site_5451,2025-01-01,20.377099609375023,72.30431320158355,2.560025997037513,1009.53921875,0.0,True
site_5454,2025-01-01,20.177789306640648,73.1239063793998,2.402398347014439,1010.791328125,0.0,True
site_5455,2025-01-01,20.177789306640648,73.1239063793998,2.402398347014439,1010.791328125,0.0,True
site_5449,2025-01-01,20.377099609375023,72.30431320158355,2.560025997037513,1009.53921875,0.0,True
site_5456,2025-01-01,20.377099609375023,72.30431320158355,2.560025997037513,1009.53921875,0.0,True
site_5453,2025-01-09,18.890771484375023,55.20235668277058,2.751622273391628,1008.58515625,0.0,True
site_5450,2025-01-09,18.890771484375023,55.20235668277058,2.751622273391628,1008.58515625,0.0,True
site_308,2025-01-09,18.890771484375023,55.20235668277058,2.751622273391628,1008.58515625,0.0,True
site_5452,2025-01-09,18.890771484375023,55.20235668277058,2.751622273391628,1008.58515625,0.0,True
site_5451,2025-01-09,18.890771484375023,55.20235668277058,2.751622273391628,1008.58515625,0.0,True
site_5454,2025-01-09,18.842858886718773,55.33120674965605,2.748913112824864,1009.77890625,0.0,True
site_5455,2025-01-09,18.842858886718773,55.33120674965605,2.748913112824864,1009.77890625,0.0,True
site_5449,2025-01-09,18.890771484375023,55.20235668277058,2.751622273391628,1008.58515625,0.0,True
site_5456,2025-01-09,18.890771484375023,55.20235668277058,2.751622273391628,1008.58515625,0.0,True
site_5453,2025-01-10,20.926232910156276,60.95132923594284,2.241063775445495,1008.27546875,0.0,True
site_5450,2025-01-10,20.926232910156276,60.95132923594284,2.241063775445495,1008.27546875,0.0,True
site_308,2025-01-10,20.926232910156276,60.95132923594284,2.241063775445495,1008.27546875,0.0,True
